Graph#,dirname,filename,class,genus,species,interaction_type,definition_of_interaction,edge_wt_type,geographical_location,data_record_technique,time_span,resolution,time_span_per_day,population_type,attributes_available,Citation,
158,cichlidfish_dominance_weighted,maguire_cichlid33.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
159,cichlidfish_dominance_weighted,maguire_cichlid34.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
160,cichlidfish_dominance_weighted,maguire_cichlid35.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
161,cichlidfish_dominance_weighted,maguire_cichlid36.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
162,cichlidfish_dominance_weighted,maguire_cichlid37.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
163,cichlidfish_dominance_weighted,maguire_cichlid38.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
164,cichlidfish_dominance_weighted,maguire_cichlid39.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
165,cichlidfish_dominance_weighted,maguire_cichlid40.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
166,cichlidfish_dominance_weighted,maguire_cichlid41.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
167,cichlidfish_dominance_weighted,maguire_cichlid42.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
168,cichlidfish_dominance_weighted,maguire_cichlid43.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
169,cichlidfish_dominance_weighted,maguire_cichlid44.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
170,cichlidfish_dominance_weighted,maguire_cichlid45.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
171,cichlidfish_dominance_weighted,maguire_cichlid46.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
172,cichlidfish_dominance_weighted,maguire_cichlid47.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
173,cichlidfish_dominance_weighted,maguire_cichlid48.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
174,cichlidfish_dominance_weighted,maguire_cichlid49.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
175,cichlidfish_dominance_weighted,maguire_cichlid50.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
176,cichlidfish_dominance_weighted,maguire_cichlid51.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
177,cichlidfish_dominance_weighted,maguire_cichlid52.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
178,cichlidfish_dominance_weighted,maguire_cichlid53.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
179,cichlidfish_dominance_weighted,maguire_cichlid54.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
180,cichlidfish_dominance_weighted,maguire_cichlid55.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.",
181,cichlidfish_dominance_weighted,maguire_cichlid56.graphml,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",video,7 days,NA,30 minutes,captive,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone","Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994.","Maguire, S.M. et al. (2021) â€˜Social network dynamics predict hormone levels and behavior in a highly social cichlid fishâ€™, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
182,barbarymacaque_grooming_weighted,fedurek_macaque01.graphml,Mammalia,Macaca,sylvanus,Dominance,"Aggressive behaviour ie. Bite, charge, chase, displace, grab, lunge, slap",frequency,"Middle Atlas Mountains, Morocco",Focal_sampling,1 year,NA,20 minutes,free-ranging,"Sex (FS- female survivor, FN- female non survivor, MS- male survivor, MN- male non survivor)","Fedurek, P., McFarland, R., Majolo, B., & Lehmann, J. (2022). Social responses to the natural loss of individuals in Barbary macaques. Mammalian Biology, 102(4), 1249–1266. https://doi.org/10.1007/s42991-022-00283-x",
183,barbarymacaque_grooming_weighted,fedurek_macaque02.graphml,Mammalia,Macaca,sylvanus,Dominance,"Aggressive behaviour ie. Bite, charge, chase, displace, grab, lunge, slap",frequency,"Middle Atlas Mountains, Morocco",Focal_sampling,1 year,NA,20 minutes,free-ranging,"Sex (FS- female survivor, FN- female non survivor, MS- male survivor, MN- male non survivor)","Fedurek, P., McFarland, R., Majolo, B., & Lehmann, J. (2022). Social responses to the natural loss of individuals in Barbary macaques. Mammalian Biology, 102(4), 1249–1266. https://doi.org/10.1007/s42991-022-00283-x",
184,barbarymacaque_grooming_weighted,fedurek_macaque03.graphml,Mammalia,Macaca,sylvanus,Dominance,"Aggressive behaviour ie. Bite, charge, chase, displace, grab, lunge, slap",frequency,"Middle Atlas Mountains, Morocco",Focal_sampling,1 year,NA,20 minutes,free-ranging,"Sex (FS- female survivor, FN- female non survivor, MS- male survivor, MN- male non survivor)","Fedurek, P., McFarland, R., Majolo, B., & Lehmann, J. (2022). Social responses to the natural loss of individuals in Barbary macaques. Mammalian Biology, 102(4), 1249–1266. https://doi.org/10.1007/s42991-022-00283-x",
185,barbarymacaque_grooming_weighted,fedurek_macaque04.graphml,Mammalia,Macaca,sylvanus,Dominance,"Aggressive behaviour ie. Bite, charge, chase, displace, grab, lunge, slap",frequency,"Middle Atlas Mountains, Morocco",Focal_sampling,1 year,NA,20 minutes,free-ranging,"Sex (FS- female survivor, FN- female non survivor, MS- male survivor, MN- male non survivor)","Fedurek, P., McFarland, R., Majolo, B., & Lehmann, J. (2022). Social responses to the natural loss of individuals in Barbary macaques. Mammalian Biology, 102(4), 1249–1266. https://doi.org/10.1007/s42991-022-00283-x",
186,barbarymacaque_grooming_weighted,fedurek_macaque05.graphml,Mammalia,Macaca,sylvanus,Dominance,"Aggressive behaviour ie. Bite, charge, chase, displace, grab, lunge, slap",frequency,"Middle Atlas Mountains, Morocco",Focal_sampling,1 year,NA,20 minutes,free-ranging,"Sex (FS- female survivor, FN- female non survivor, MS- male survivor, MN- male non survivor)","Fedurek, P., McFarland, R., Majolo, B., & Lehmann, J. (2022). Social responses to the natural loss of individuals in Barbary macaques. Mammalian Biology, 102(4), 1249–1266. https://doi.org/10.1007/s42991-022-00283-x",
187,barbarymacaque_grooming_weighted,fedurek_macaque06.graphml,Mammalia,Macaca,sylvanus,Dominance,"Aggressive behaviour ie. Bite, charge, chase, displace, grab, lunge, slap",frequency,"Middle Atlas Mountains, Morocco",Focal_sampling,1 year,NA,20 minutes,free-ranging,"Sex (FS- female survivor, FN- female non survivor, MS- male survivor, MN- male non survivor)","Fedurek, P., McFarland, R., Majolo, B., & Lehmann, J. (2022). Social responses to the natural loss of individuals in Barbary macaques. Mammalian Biology, 102(4), 1249–1266. https://doi.org/10.1007/s42991-022-00283-x",
188,barbarymacaque_grooming_weighted,fedurek_macaque07.graphml,Mammalia,Macaca,sylvanus,Grooming,grooming behaviour (physical contact),frequency,"Middle Atlas Mountains, Morocco",Focal_sampling,1 year,NA,20 minutes,free-ranging,"Sex (FS- female survivor, FN- female non survivor, MS- male survivor, MN- male non survivor)","Fedurek, P., McFarland, R., Majolo, B., & Lehmann, J. (2022). Social responses to the natural loss of individuals in Barbary macaques. Mammalian Biology, 102(4), 1249–1266. https://doi.org/10.1007/s42991-022-00283-x",
189,barbarymacaque_grooming_weighted,fedurek_macaque08.graphml,Mammalia,Macaca,sylvanus,Grooming,grooming behaviour (physical contact),frequency,"Middle Atlas Mountains, Morocco",Focal_sampling,1 year,NA,20 minutes,free-ranging,"Sex (FS- female survivor, FN- female non survivor, MS- male survivor, MN- male non survivor)","Fedurek, P., McFarland, R., Majolo, B., & Lehmann, J. (2022). Social responses to the natural loss of individuals in Barbary macaques. Mammalian Biology, 102(4), 1249–1266. https://doi.org/10.1007/s42991-022-00283-x",
190,barbarymacaque_grooming_weighted,fedurek_macaque09.graphml,Mammalia,Macaca,sylvanus,Grooming,grooming behaviour (physical contact),frequency,"Middle Atlas Mountains, Morocco",Focal_sampling,1 year,NA,20 minutes,free-ranging,"Sex (FS- female survivor, FN- female non survivor, MS- male survivor, MN- male non survivor)","Fedurek, P., McFarland, R., Majolo, B., & Lehmann, J. (2022). Social responses to the natural loss of individuals in Barbary macaques. Mammalian Biology, 102(4), 1249–1266. https://doi.org/10.1007/s42991-022-00283-x",
191,barbarymacaque_grooming_weighted,fedurek_macaque10.graphml,Mammalia,Macaca,sylvanus,Grooming,grooming behaviour (physical contact),frequency,"Middle Atlas Mountains, Morocco",Focal_sampling,1 year,NA,20 minutes,free-ranging,"Sex (FS- female survivor, FN- female non survivor, MS- male survivor, MN- male non survivor)","Fedurek, P., McFarland, R., Majolo, B., & Lehmann, J. (2022). Social responses to the natural loss of individuals in Barbary macaques. Mammalian Biology, 102(4), 1249–1266. https://doi.org/10.1007/s42991-022-00283-x",
192,barbarymacaque_grooming_weighted,fedurek_macaque11.graphml,Mammalia,Macaca,sylvanus,Grooming,grooming behaviour (physical contact),frequency,"German Primate Center (GÃ¶ttingen), Germany",Focal_sampling,18 months,NA,2 minutes,captive,"Infant carrying time, Sex (look at paper figure 1 for this)","Fedurek, P., McFarland, R., Majolo, B., & Lehmann, J. (2022). Social responses to the natural loss of individuals in Barbary macaques. Mammalian Biology, 102(4), 1249–1266. https://doi.org/10.1007/s42991-022-00283-x",
193,barbarymacaque_grooming_weighted,fedurek_macaque12.graphml,Mammalia,Macaca,sylvanus,Grooming,grooming behaviour (physical contact),frequency,"German Primate Center (GÃ¶ttingen), Germany",Focal_sampling,18 months,NA,2 minutes,captive,"Infant carrying time, Sex (look at paper figure 1 for this)","Fedurek, P., McFarland, R., Majolo, B., & Lehmann, J. (2022). Social responses to the natural loss of individuals in Barbary macaques. Mammalian Biology, 102(4), 1249–1266. https://doi.org/10.1007/s42991-022-00283-x",
194,cottontoptamarin_grooming_weighted,diaz_tamarin01.graphml,Mammalia,Saguinus,oedipus,Grooming,grooming behaviour (physical contact),frequency,"German Primate Center (GÃ¶ttingen), Germany",Focal_sampling,18 months,NA,2 minutes,captive,"Infant carrying time, Sex (look at paper figure 1 for this)","Díaz, S., Sánchez, S., & Fidalgo, A. (2023). Social Network Changes in Cotton-Top Tamarins (Saguinus oedipus) after the Birth of New Infants. Animals, 13(11), 1758. https://doi.org/10.3390/ani13111758",
195,cottontoptamarin_grooming_weighted,diaz_tamarin02.graphml,Mammalia,Saguinus,oedipus,Grooming,grooming behaviour (physical contact),frequency,"German Primate Center (GÃ¶ttingen), Germany",Focal_sampling,18 months,NA,2 minutes,captive,"Infant carrying time, Sex (look at paper figure 1 for this)","Díaz, S., Sánchez, S., & Fidalgo, A. (2023). Social Network Changes in Cotton-Top Tamarins (Saguinus oedipus) after the Birth of New Infants. Animals, 13(11), 1758. https://doi.org/10.3390/ani13111758",
196,cottontoptamarin_grooming_weighted,diaz_tamarin03.graphml,Mammalia,Saguinus,oedipus,Grooming,grooming behaviour (physical contact),frequency,"Apenheul (Apeldoorn, the Netherlands), La VallÃ©e Des Singes (Romagne, France), Ouwehands Dierenpark (Rhenen, the Netherlands), Twycross Zoo (Twycross, United Kingdom), Wilhelma Zoological and Botanical Garden (Stuttgart, Germany), Wuppertal Zoo (Wuppertal, Germany), Zoo Frankfurt (Frankfurt-Am-Main, Germany) and Zoo Planckendael (Mechelen, Belgium).Â ",Scan_sampling,11 years,NA,10 minutes,captive,"Sex, Age, Rearing status","Díaz, S., Sánchez, S., & Fidalgo, A. (2023). Social Network Changes in Cotton-Top Tamarins (Saguinus oedipus) after the Birth of New Infants. Animals, 13(11), 1758. https://doi.org/10.3390/ani13111758",
197,cottontoptamarin_grooming_weighted,diaz_tamarin04.graphml,Mammalia,Saguinus,oedipus,Grooming,grooming behaviour (physical contact),frequency,"Apenheul (Apeldoorn, the Netherlands), La VallÃ©e Des Singes (Romagne, France), Ouwehands Dierenpark (Rhenen, the Netherlands), Twycross Zoo (Twycross, United Kingdom), Wilhelma Zoological and Botanical Garden (Stuttgart, Germany), Wuppertal Zoo (Wuppertal, Germany), Zoo Frankfurt (Frankfurt-Am-Main, Germany) and Zoo Planckendael (Mechelen, Belgium).Â ",Scan_sampling,11 years,NA,10 minutes,captive,"Sex, Age, Rearing status","Díaz, S., Sánchez, S., & Fidalgo, A. (2023). Social Network Changes in Cotton-Top Tamarins (Saguinus oedipus) after the Birth of New Infants. Animals, 13(11), 1758. https://doi.org/10.3390/ani13111758",
198,bonobo_grooming_weighted,torfs_bonobo01.graphml,Mammalia,Pan,paniscus,Grooming,each instance where a subject manipulates the receiverâ€™s body surface and hair with its fingers or lips.,frequency,"Apenheul (Apeldoorn, the Netherlands), La VallÃ©e Des Singes (Romagne, France), Ouwehands Dierenpark (Rhenen, the Netherlands), Twycross Zoo (Twycross, United Kingdom), Wilhelma Zoological and Botanical Garden (Stuttgart, Germany), Wuppertal Zoo (Wuppertal, Germany), Zoo Frankfurt (Frankfurt-Am-Main, Germany) and Zoo Planckendael (Mechelen, Belgium).Â ",Scan_sampling,11 years,NA,10 minutes,captive,"Sex, Age, Rearing status","Torfs, J. R. R., Stevens, J. M. G., Verspeek, J., Laméris, D. W., Guéry, J., Eens, M., & Staes, N. (2023). Multi-group analysis of grooming network position in a highly social primate. PLoS ONE, 18(4), e0284361. https://doi.org/10.1371/journal.pone.0284361",
199,bonobo_grooming_weighted,torfs_bonobo02.graphml,Mammalia,Pan,paniscus,Grooming,each instance where a subject manipulates the receiverâ€™s body surface and hair with its fingers or lips.,frequency,"Apenheul (Apeldoorn, the Netherlands), La VallÃ©e Des Singes (Romagne, France), Ouwehands Dierenpark (Rhenen, the Netherlands), Twycross Zoo (Twycross, United Kingdom), Wilhelma Zoological and Botanical Garden (Stuttgart, Germany), Wuppertal Zoo (Wuppertal, Germany), Zoo Frankfurt (Frankfurt-Am-Main, Germany) and Zoo Planckendael (Mechelen, Belgium).Â ",Scan_sampling,11 years,NA,10 minutes,captive,"Sex, Age, Rearing status","Torfs, J. R. R., Stevens, J. M. G., Verspeek, J., Laméris, D. W., Guéry, J., Eens, M., & Staes, N. (2023). Multi-group analysis of grooming network position in a highly social primate. PLoS ONE, 18(4), e0284361. https://doi.org/10.1371/journal.pone.0284361",
200,bonobo_grooming_weighted,torfs_bonobo03.graphml,Mammalia,Pan,paniscus,Grooming,each instance where a subject manipulates the receiverâ€™s body surface and hair with its fingers or lips.,frequency,"Apenheul (Apeldoorn, the Netherlands), La VallÃ©e Des Singes (Romagne, France), Ouwehands Dierenpark (Rhenen, the Netherlands), Twycross Zoo (Twycross, United Kingdom), Wilhelma Zoological and Botanical Garden (Stuttgart, Germany), Wuppertal Zoo (Wuppertal, Germany), Zoo Frankfurt (Frankfurt-Am-Main, Germany) and Zoo Planckendael (Mechelen, Belgium).Â ",Scan_sampling,11 years,NA,10 minutes,captive,"Sex, Age, Rearing status","Torfs, J. R. R., Stevens, J. M. G., Verspeek, J., Laméris, D. W., Guéry, J., Eens, M., & Staes, N. (2023). Multi-group analysis of grooming network position in a highly social primate. PLoS ONE, 18(4), e0284361. https://doi.org/10.1371/journal.pone.0284361",
201,bonobo_grooming_weighted,torfs_bonobo04.graphml,Mammalia,Pan,paniscus,Grooming,each instance where a subject manipulates the receiverâ€™s body surface and hair with its fingers or lips.,frequency,"Apenheul (Apeldoorn, the Netherlands), La VallÃ©e Des Singes (Romagne, France), Ouwehands Dierenpark (Rhenen, the Netherlands), Twycross Zoo (Twycross, United Kingdom), Wilhelma Zoological and Botanical Garden (Stuttgart, Germany), Wuppertal Zoo (Wuppertal, Germany), Zoo Frankfurt (Frankfurt-Am-Main, Germany) and Zoo Planckendael (Mechelen, Belgium).Â ",Scan_sampling,11 years,NA,10 minutes,captive,"Sex, Age, Rearing status","Torfs, J. R. R., Stevens, J. M. G., Verspeek, J., Laméris, D. W., Guéry, J., Eens, M., & Staes, N. (2023). Multi-group analysis of grooming network position in a highly social primate. PLoS ONE, 18(4), e0284361. https://doi.org/10.1371/journal.pone.0284361",
202,bonobo_grooming_weighted,torfs_bonobo05.graphml,Mammalia,Pan,paniscus,Grooming,each instance where a subject manipulates the receiverâ€™s body surface and hair with its fingers or lips.,frequency,"Apenheul (Apeldoorn, the Netherlands), La VallÃ©e Des Singes (Romagne, France), Ouwehands Dierenpark (Rhenen, the Netherlands), Twycross Zoo (Twycross, United Kingdom), Wilhelma Zoological and Botanical Garden (Stuttgart, Germany), Wuppertal Zoo (Wuppertal, Germany), Zoo Frankfurt (Frankfurt-Am-Main, Germany) and Zoo Planckendael (Mechelen, Belgium).Â ",Scan_sampling,11 years,NA,10 minutes,captive,"Sex, Age, Rearing status","Torfs, J. R. R., Stevens, J. M. G., Verspeek, J., Laméris, D. W., Guéry, J., Eens, M., & Staes, N. (2023). Multi-group analysis of grooming network position in a highly social primate. PLoS ONE, 18(4), e0284361. https://doi.org/10.1371/journal.pone.0284361",
203,bonobo_grooming_weighted,torfs_bonobo06.graphml,Mammalia,Pan,paniscus,Grooming,each instance where a subject manipulates the receiverâ€™s body surface and hair with its fingers or lips.,frequency,"Apenheul (Apeldoorn, the Netherlands), La VallÃ©e Des Singes (Romagne, France), Ouwehands Dierenpark (Rhenen, the Netherlands), Twycross Zoo (Twycross, United Kingdom), Wilhelma Zoological and Botanical Garden (Stuttgart, Germany), Wuppertal Zoo (Wuppertal, Germany), Zoo Frankfurt (Frankfurt-Am-Main, Germany) and Zoo Planckendael (Mechelen, Belgium).Â ",Scan_sampling,11 years,NA,10 minutes,captive,"Sex, Age, Rearing status","Torfs, J. R. R., Stevens, J. M. G., Verspeek, J., Laméris, D. W., Guéry, J., Eens, M., & Staes, N. (2023). Multi-group analysis of grooming network position in a highly social primate. PLoS ONE, 18(4), e0284361. https://doi.org/10.1371/journal.pone.0284361",
