Network_ID,Network_Identifier,class,genus,species,interaction_type,definition_of_interaction,edge_wt_type,geographical_location,population_type,data_record_technique,time_span,resolution,time_span_per_day,attributes_available,is_connected,num_components,nodes,edges,network.density,highest.degree,avg.degree,std.degree.node,CV.degree,skewness,avg.node.strength,std.node.strength,CV.node.strength,avg.edge.strength,std.edge.strength,CV.edge.strength,highest.node.strength,deg.assort,avg.betw.centrality,std.betw.centrality,highest.betw,avg.betw.centrality.weighted,std.betw.centrality.weighted,highest.betw.weighted,clustering,clustering.weighted,transitivity,Q,Qmax,Qrel,cohesion,num.modules,avg.modsize,diameter,Citation
Network_924.graphml,mongoose_grooming_weighted,Mammalia,Helogale,parvula,Grooming, all observed grooming bouts lasting longer than 5 s that occurred between individuals aged 12 months and older,frequency," Sorabi Rock Lodge, Limpopo Province, South Africa",free-ranging,all_occurence_sampling,4 years,NA,NA,NA,TRUE,1,6,14,0.933,5,4.667,0.471,0.101,-1.28,0.333,0.081,0.243,0.071,0.045,0.634,0.43,-0.4,0.017,0.012,0.025,0.117,0.186,0.5,0.933,0.31,0.923,0,0,NA,0.999928577,1,6,2,"Kern, J.M., Radford, A.N. Strongly bonded individuals prefer to forage together in cooperatively breeding dwarf mongoose groups. Behav Ecol Sociobiol 75, 85 (2021). https://doi.org/10.1007/s00265-021-03025-0"
Network_925.graphml,mongoose_grooming_weighted,Mammalia,Helogale,parvula,Grooming, all observed grooming bouts lasting longer than 5 s that occurred between individuals aged 12 months and older,frequency," Sorabi Rock Lodge, Limpopo Province, South Africa",free-ranging,all_occurence_sampling,4 years,NA,NA,NA,TRUE,1,6,14,0.933,5,4.667,0.471,0.101,-1.28,0.333,0.089,0.267,0.071,0.043,0.606,0.439,-0.4,0.017,0.012,0.025,0.15,0.229,0.6,0.933,0.323,0.923,0,0,NA,0.999928577,1,6,2,"Kern, J.M., Radford, A.N. Strongly bonded individuals prefer to forage together in cooperatively breeding dwarf mongoose groups. Behav Ecol Sociobiol 75, 85 (2021). https://doi.org/10.1007/s00265-021-03025-0"
Network_926.graphml,mongoose_grooming_weighted,Mammalia,Helogale,parvula,Grooming, all observed grooming bouts lasting longer than 5 s that occurred between individuals aged 12 months and older,frequency," Sorabi Rock Lodge, Limpopo Province, South Africa",free-ranging,all_occurence_sampling,4 years,NA,NA,NA,TRUE,1,6,15,1,5,5,0,0,NA,0.333,0.09,0.27,0.067,0.044,0.657,0.424,,0,0,0,0.125,0.28,0.75,1,0.337,1,0,0,NA,1,1,6,1,"Kern, J.M., Radford, A.N. Strongly bonded individuals prefer to forage together in cooperatively breeding dwarf mongoose groups. Behav Ecol Sociobiol 75, 85 (2021). https://doi.org/10.1007/s00265-021-03025-0"
Network_927.graphml,mongoose_grooming_weighted,Mammalia,Helogale,parvula,Grooming, all observed grooming bouts lasting longer than 5 s that occurred between individuals aged 12 months and older,frequency," Sorabi Rock Lodge, Limpopo Province, South Africa",free-ranging,all_occurence_sampling,4 years,NA,NA,NA,TRUE,1,7,17,0.81,6,4.857,0.99,0.204,-0.971,0.286,0.112,0.392,0.059,0.039,0.661,0.435,-0.363,0.038,0.038,0.094444444,0.095,0.159,0.466666667,0.867,0.252,0.826,0.014,0.484,0.029,0.529427336,2,3.5,2,"Kern, J.M., Radford, A.N. Strongly bonded individuals prefer to forage together in cooperatively breeding dwarf mongoose groups. Behav Ecol Sociobiol 75, 85 (2021). https://doi.org/10.1007/s00265-021-03025-0"
Network_928.graphml,mongoose_grooming_weighted,Mammalia,Helogale,parvula,Grooming, all observed grooming bouts lasting longer than 5 s that occurred between individuals aged 12 months and older,frequency," Sorabi Rock Lodge, Limpopo Province, South Africa",free-ranging,all_occurence_sampling,4 years,NA,NA,NA,TRUE,1,7,19,0.905,6,5.429,0.495,0.091,0.467,0.286,0.085,0.297,0.053,0.038,0.717,0.399,-0.267,0.019,0.007,0.026666667,0.269,0.246,0.6,0.886,0.27,0.882,0,0,NA,0.999921059,1,7,2,"Kern, J.M., Radford, A.N. Strongly bonded individuals prefer to forage together in cooperatively breeding dwarf mongoose groups. Behav Ecol Sociobiol 75, 85 (2021). https://doi.org/10.1007/s00265-021-03025-0"
Network_929.graphml,mongoose_grooming_weighted,Mammalia,Helogale,parvula,Grooming, all observed grooming bouts lasting longer than 5 s that occurred between individuals aged 12 months and older,frequency," Sorabi Rock Lodge, Limpopo Province, South Africa",free-ranging,all_occurence_sampling,4 years,NA,NA,NA,TRUE,1,7,19,0.905,6,5.429,0.495,0.091,0.467,0.286,0.081,0.283,0.053,0.037,0.698,0.432,-0.267,0.019,0.007,0.026666667,0.162,0.136,0.433333333,0.886,0.291,0.882,0,0,NA,0.999921059,1,7,2,"Kern, J.M., Radford, A.N. Strongly bonded individuals prefer to forage together in cooperatively breeding dwarf mongoose groups. Behav Ecol Sociobiol 75, 85 (2021). https://doi.org/10.1007/s00265-021-03025-0"
Network_930.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,22,0.611,8,4.889,1.728,0.353,0.248,0.222,0.179,0.806,0.045,0.063,1.4,0.562,-0.415,0.056,0.07,0.223214286,0.137,0.119,0.351190476,0.719,0.087,0.636,0.044,0.635,0.069,0.409081612,3,3,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_931.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,24,0.667,7,5.333,1.491,0.28,-1.421,0.222,0.137,0.617,0.042,0.045,1.071,0.432,-0.362,0.048,0.052,0.158928571,0.139,0.223,0.660714286,0.604,0.107,0.658,0.042,0.375,0.112,0.666708336,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_932.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,22,0.611,7,4.889,1.37,0.28,-0.835,0.222,0.181,0.815,0.045,0.064,1.422,0.553,-0.499,0.056,0.06,0.185714286,0.117,0.113,0.276785714,0.522,0.046,0.543,0.065,0.474,0.137,0.590895661,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_933.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,23,0.639,8,5.111,1.969,0.385,-0.855,0.222,0.153,0.689,0.043,0.042,0.977,0.549,-0.475,0.052,0.094,0.3125,0.161,0.097,0.25,0.739,0.173,0.75,0.022,0.5,0.044,0.521750473,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_934.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,26,0.722,8,5.778,1.474,0.255,0.558,0.222,0.165,0.743,0.038,0.054,1.421,0.529,-0.353,0.04,0.044,0.113095238,0.154,0.171,0.50297619,0.826,0.077,0.761,0.07,0.493,0.142,0.576900888,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_935.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,20,0.556,7,4.444,1.95,0.439,-0.268,0.222,0.197,0.887,0.05,0.068,1.36,0.558,-0.467,0.067,0.099,0.30952381,0.153,0.186,0.517857143,0.702,0.103,0.663,0.1,0.5,0.2,0.600060006,2,4.5,3,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_936.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,25,0.694,7,5.556,1.343,0.242,-0.77,0.222,0.118,0.532,0.04,0.038,0.95,0.471,-0.419,0.044,0.037,0.093452381,0.114,0.137,0.428571429,0.629,0.12,0.639,0.047,0.487,0.097,0.559955204,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_937.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,28,0.778,8,6.222,1.548,0.249,-0.28,0.222,0.114,0.514,0.036,0.034,0.944,0.38,-0.424,0.032,0.033,0.075595238,0.119,0.105,0.294642857,0.861,0.152,0.803,0.008,0.436,0.018,0.57144898,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_938.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,26,0.722,8,5.778,1.315,0.228,0.174,0.222,0.116,0.523,0.038,0.036,0.947,0.459,-0.391,0.04,0.033,0.097619048,0.158,0.133,0.44047619,0.751,0.135,0.705,0.017,0.44,0.039,0.576900888,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_939.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,26,0.722,7,5.778,1.03,0.178,-1.109,0.222,0.129,0.581,0.038,0.044,1.158,0.473,-0.219,0.04,0.022,0.075595238,0.091,0.035,0.125,0.663,0.094,0.674,0.058,0.482,0.12,0.576900888,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_940.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,26,0.722,7,5.778,1.133,0.196,-0.686,0.222,0.096,0.432,0.038,0.029,0.763,0.398,-0.448,0.04,0.031,0.08452381,0.151,0.198,0.5,0.696,0.157,0.669,0.036,0.497,0.072,0.538440829,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_941.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,26,0.722,7,5.778,0.916,0.159,-0.6,0.222,0.137,0.617,0.038,0.047,1.237,0.489,-0.31,0.04,0.021,0.073809524,0.101,0.104,0.348214286,0.663,0.081,0.656,0.036,0.497,0.072,0.538440829,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_942.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,29,0.806,8,6.444,1.066,0.165,-1.381,0.222,0.135,0.608,0.034,0.042,1.235,0.495,-0.305,0.028,0.019,0.055697279,0.093,0.123,0.386904762,0.803,0.097,0.791,0.012,0.495,0.024,0.517277054,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_943.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,27,0.75,7,6,1.247,0.208,-1.989,0.222,0.072,0.324,0.037,0.026,0.703,0.318,-0.348,0.036,0.032,0.085714286,0.13,0.169,0.540178571,0.746,0.237,0.739,0.024,0.431,0.056,0.592592593,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_944.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,30,0.833,8,6.667,1.155,0.173,-0.279,0.222,0.152,0.685,0.033,0.05,1.515,0.541,-0.335,0.024,0.017,0.045238095,0.133,0.156,0.416666667,0.858,0.083,0.835,0,0,NA,0.999950002,1,9,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_945.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,28,0.778,8,6.222,1.548,0.249,-1.06,0.222,0.118,0.532,0.036,0.041,1.139,0.472,-0.381,0.032,0.035,0.088690476,0.121,0.095,0.333333333,0.871,0.121,0.822,0.03,0.494,0.061,0.535733419,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_946.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,25,0.694,6,5.556,0.685,0.123,-1.793,0.222,0.136,0.613,0.04,0.046,1.15,0.543,-0.127,0.044,0.02,0.075595238,0.097,0.102,0.321428571,0.652,0.089,0.647,0.127,0.487,0.261,0.639948804,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_947.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,26,0.722,8,5.778,1.315,0.228,0.174,0.222,0.064,0.288,0.038,0.037,0.974,0.359,-0.437,0.04,0.03,0.081547619,0.134,0.163,0.537202381,0.676,0.112,0.659,0.027,0.488,0.055,0.538440829,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_948.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,24,0.667,7,5.333,1.491,0.28,0.324,0.222,0.105,0.473,0.042,0.033,0.786,0.385,-0.714,0.048,0.042,0.094387755,0.131,0.186,0.482142857,0.582,0.125,0.526,0,0,NA,1.000062504,1,9,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_949.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,27,0.75,7,6,0.667,0.111,0,0.222,0.105,0.473,0.037,0.034,0.919,0.448,-0.266,0.036,0.009,0.048809524,0.168,0.239,0.583333333,0.652,0.119,0.657,0.024,0.431,0.056,0.592592593,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_950.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,28,0.778,8,6.222,0.786,0.126,1.39,0.222,0.046,0.207,0.036,0.032,0.889,0.305,-0.204,0.032,0.015,0.061309524,0.155,0.184,0.5,0.751,0.161,0.745,0.061,0.49,0.124,0.57144898,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_951.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,32,0.889,8,7.111,0.875,0.123,-0.313,0.222,0.089,0.401,0.031,0.031,1,0.431,-0.278,0.016,0.01,0.026190476,0.103,0.099,0.267857143,0.901,0.144,0.889,0,0,NA,1.000015625,1,9,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_952.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,31,0.861,8,6.889,0.994,0.144,-0.659,0.222,0.083,0.374,0.032,0.028,0.875,0.384,-0.251,0.02,0.013,0.036309524,0.116,0.155,0.511904762,0.878,0.2,0.866,0.008,0.492,0.016,0.516120708,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_953.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,29,0.806,8,6.444,1.165,0.181,-0.109,0.222,0.119,0.536,0.034,0.033,0.971,0.464,-0.331,0.028,0.02,0.055952381,0.132,0.123,0.333333333,0.831,0.174,0.805,0.014,0.428,0.033,0.586247327,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_954.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,29,0.806,8,6.444,1.165,0.181,-0.109,0.222,0.069,0.311,0.034,0.029,0.853,0.355,-0.278,0.028,0.018,0.056547619,0.092,0.119,0.363095238,0.822,0.15,0.805,0.014,0.428,0.033,0.586247327,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_955.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,23,0.639,6,5.111,0.737,0.144,-0.257,0.222,0.135,0.608,0.043,0.044,1.023,0.507,-0.343,0.052,0.023,0.08452381,0.146,0.203,0.517857143,0.496,0.085,0.495,0.064,0.499,0.128,0.565229679,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_956.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,28,0.778,8,6.222,1.133,0.182,-0.64,0.222,0.074,0.333,0.036,0.03,0.833,0.317,-0.193,0.032,0.023,0.075595238,0.157,0.232,0.678571429,0.8,0.159,0.789,0.061,0.49,0.124,0.57144898,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_957.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,25,0.694,8,5.556,1.257,0.226,0.788,0.222,0.097,0.437,0.04,0.037,0.925,0.429,-0.251,0.044,0.039,0.133928571,0.169,0.264,0.660714286,0.756,0.138,0.719,0.093,0.493,0.189,0.599952004,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
Network_958.graphml,cichlidfish_dominance_weighted,Actinopterygii,Astatotilapia,burtoni,Dominance,"aggressive behavioural displays including chasing, border conflicts, lateral display and courshop behaviours including leading and quivering",frequency,"University of Texas, USA",captive,video,7 days,NA,30 minutes,"Tag Color, Status, GSI, Condition, Courtship, Foraging, digging, weight, SL, Cortisol, Testosterone",TRUE,1,9,25,0.694,8,5.556,1.423,0.256,0.505,0.222,0.114,0.514,0.04,0.032,0.8,0.426,-0.312,0.044,0.042,0.132142857,0.123,0.201,0.553571429,0.756,0.202,0.707,0.06,0.42,0.143,0.639948804,2,4.5,2,"Maguire, S.M. et al. (2021) Social network dynamics predict hormone levels and behavior in a highly social cichlid fish, Hormones and Behavior, 132, p. 104994. doi:10.1016/j.yhbeh.2021.104994."
